input_zip,route_class,fscskey,fscs_seq,distance_km,routing_basis,confidence_note
11741,EXACT_IMLS_OUTLET_ZIP,NY0668,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11742,ZCTA_NEAREST_ACTIVE_OUTLET,NY0668,002,3.528,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11743,EXACT_IMLS_OUTLET_ZIP,NY0669,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11746,EXACT_IMLS_OUTLET_ZIP,NY0661,003,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11747,EXACT_IMLS_OUTLET_ZIP,NY0661,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11749,ZCTA_NEAREST_ACTIVE_OUTLET,NY9016,001,1.946,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11751,EXACT_IMLS_OUTLET_ZIP,NY0671,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11752,ZCTA_NEAREST_ACTIVE_OUTLET,NY0663,002,2.589,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11753,EXACT_IMLS_OUTLET_ZIP,NY0354,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11754,EXACT_IMLS_OUTLET_ZIP,NY0689,004,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11755,ZCTA_NEAREST_ACTIVE_OUTLET,NY0654,002,3.256,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11756,EXACT_IMLS_OUTLET_ZIP,NY0353,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11757,EXACT_IMLS_OUTLET_ZIP,NY0672,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11758,EXACT_IMLS_OUTLET_ZIP,NY0363,003,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11762,EXACT_IMLS_OUTLET_ZIP,NY0363,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11763,ZCTA_NEAREST_ACTIVE_OUTLET,NY0654,003,6.273,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11764,ZCTA_NEAREST_ACTIVE_OUTLET,NY0674,002,5.788,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
